Hogar;Sector;Zona;Comuna;DirCoordX;DirCoordY;Fecha;DiaAsig;TipoDia;Temporada;NumPer;NumVeh;NumBicAdulto;NumBicNino;Propiedad;MontoDiv;ImputadoDiv;MontoArr;ImputadoArr;IngresoHogar;Factor
154021;3;304;LAS CONDES;353358,7968;6300687,5;27-03-2013;miércoles;1;1;3;1;0;0;1;;0;354359;1;53101;53,186050
154031;3;291;LAS CONDES;353351,719;6300763,076;27-03-2013;miércoles;1;1;2;1;1;0;1;;0;500000;0;1681241;61,896946
154041;3;309;LAS CONDES;356861,6825;6301793,452;21-11-2012;miércoles;1;1;8;0;0;0;1;;0;200000;0;700123;237,596771
154052;3;287;LAS CONDES;351083,3536;6301575,975;24-05-2013;viernes;1;1;3;2;2;0;2;437909;1;492660;1;1302338;203,220810
154061;3;287;LAS CONDES;350985,1038;6301475,197;25-04-2013;jueves;1;1;3;1;2;0;5;;0;565062;1;967965;80,580505
154072;3;287;LAS CONDES;351083,3536;6301575,975;25-04-2013;jueves;1;1;2;1;2;0;3;;0;545974;1;2020526;56,282253
154081;3;287;LAS CONDES;351022,2783;6301525,457;24-04-2013;miércoles;1;1;2;1;0;0;2;479084;1;459801;1;1499888;56,282253
154091;3;287;LAS CONDES;351022,2783;6301525,457;23-04-2013;martes;1;1;1;1;0;0;1;;0;377532;1;756296;45,040329
154101;3;300;LAS CONDES;355108,3903;6303989,616;16-08-2013;viernes;1;1;1;1;0;0;1;;0;453565;1;659603;33,906288
154111;3;300;LAS CONDES;355108,3903;6303989,616;13-06-2013;jueves;1;1;2;2;0;0;3;;0;662325;1;2273092;106,853409
154121;3;300;LAS CONDES;355108,3903;6303989,616;13-06-2013;jueves;1;1;3;2;2;1;2;776864;1;629933;1;2901342;152,984299
154131;3;300;LAS CONDES;355108,3903;6303989,616;14-08-2013;miércoles;1;1;1;1;0;0;1;;0;430466;1;1116885;33,906288
154141;3;300;LAS CONDES;355108,3903;6303989,616;14-06-2013;viernes;1;1;3;2;98;98;7;;0;644700;1;1918204;152,984299
154151;3;290;LAS CONDES;352848,6496;6299829,777;28-02-2013;jueves;1;2;2;0;0;0;1;;0;334226;1;1350237;231,932526
154161;3;306;LAS CONDES;352977,8351;6302745,107;09-08-2013;viernes;1;1;1;1;1;0;3;;0;520249;1;1137054;49,117886
154171;3;306;LAS CONDES;352977,8351;6302745,107;08-08-2013;jueves;1;1;1;0;98;98;1;;0;413386;1;1924392;133,250122
154181;3;306;LAS CONDES;352977,8351;6302745,107;09-08-2013;viernes;1;1;2;2;0;0;3;;0;524042;1;1784713;154,791718
154191;3;306;LAS CONDES;352977,8351;6302745,107;09-08-2013;viernes;1;1;2;1;0;0;3;;0;440013;1;1354691;61,377544
154201;3;297;LAS CONDES;356892;6302672;12-10-2012;viernes;1;1;1;0;1;0;1;;0;460557;1;910810;93,645836
154213;3;308;LAS CONDES;357379,3625;6302299,935;20-10-2012;sábado;2;1;5;5;0;0;1;;0;500000;0;1997447;248,545410
154221;3;287;LAS CONDES;351295,6604;6301397,266;30-05-2013;jueves;1;1;2;0;1;0;1;;0;362983;1;716327;152,686081
154231;3;295;LAS CONDES;356097,3529;6301559,569;25-01-2013;viernes;1;2;5;2;0;0;2;488463;1;500000;0;661049;210,822891
154242;3;299;LAS CONDES;356362,3456;6304154,506;04-06-2013;martes;1;1;1;0;0;0;1;;0;350497;1;428270;750,225220
154251;3;292;LAS CONDES;353835,915;6301412,692;06-12-2012;jueves;1;1;1;0;0;0;3;;0;600000;0;101740;138,500946
154261;3;289;LAS CONDES;352110,0294;6300615,263;23-11-2012;viernes;1;1;2;0;0;0;1;;0;383901;1;448260;132,411911
154270;3;322;LAS CONDES;356355,0264;6300646,161;06-11-2012;martes;1;1;5;2;0;3;2;700000;0;500000;0;1910699;285,619324
154281;3;314;LAS CONDES;357490,5156;6303699,862;08-09-2012;sábado;2;1;6;2;1;0;1;;0;447735;1;954001;138,232513
154291;3;320;LAS CONDES;353785,327;6302640,917;08-09-2013;domingo;2;1;1;0;0;0;1;;0;330624;1;360229;129,011551
154301;3;320;LAS CONDES;353785,327;6302640,917;08-09-2013;domingo;2;1;1;1;1;0;3;;0;384930;1;790431;47,555492
154311;3;320;LAS CONDES;353785,327;6302640,917;08-09-2013;domingo;2;1;1;1;0;0;3;;0;900000;0;4595933;47,555492
154321;3;322;LAS CONDES;356809,936;6300973,274;15-05-2013;miércoles;1;1;1;1;1;0;2;525000;0;450000;0;1371241;42,243382
154331;3;322;LAS CONDES;356809,936;6300973,274;21-03-2013;jueves;1;1;1;1;0;0;7;;0;300000;0;386186;42,243382
154340;3;322;LAS CONDES;356809,936;6300973,274;15-05-2013;miércoles;1;1;2;1;0;0;1;;0;550000;0;569030;52,787178
154351;3;322;LAS CONDES;356809,936;6300973,274;11-03-2013;lunes;1;1;3;1;2;0;2;318875;1;300000;0;1791602;75,576538
154361;3;291;LAS CONDES;352862,7177;6301505,941;15-05-2013;miércoles;1;1;1;0;0;0;1;;0;319715;1;218249;134,377762
154371;3;291;LAS CONDES;352868,9102;6301490,175;20-05-2013;lunes;1;1;1;1;0;0;3;;0;300000;0;930193;49,533554
154381;3;291;LAS CONDES;352870,4284;6301488,202;15-05-2013;miércoles;1;1;2;2;1;0;1;;0;400000;0;1471882;156,101715
154391;3;291;LAS CONDES;352772,0521;6301338,57;01-08-2013;jueves;1;1;2;1;1;0;1;;0;488799;1;2614898;61,896946
154401;3;296;LAS CONDES;355402,6394;6301607,593;06-12-2012;jueves;1;1;3;1;2;0;3;;0;380000;0;2208770;89,410667
154410;3;296;LAS CONDES;355406,5926;6301627,96;03-12-2012;lunes;1;1;4;1;1;0;2;400000;0;400000;0;1325421;105,060921
154420;3;296;LAS CONDES;355396,7034;6301577,465;05-12-2012;miércoles;1;1;3;0;2;0;3;;0;300000;0;2217988;242,559036
154431;3;296;LAS CONDES;355409,2344;6301641,115;05-12-2012;miércoles;1;1;2;1;0;0;1;;0;600868;1;3515369;62,449791
154441;3;296;LAS CONDES;355346,5918;6301559,272;19-03-2013;martes;1;1;2;0;1;0;1;;0;287592;1;269990;169,417740
154451;3;296;LAS CONDES;355377,1082;6301593,571;03-12-2012;lunes;1;1;6;3;2;0;1;;0;825133;1;2154791;208,081741
154472;3;312;LAS CONDES;354423,6999;6302638,654;06-06-2013;jueves;1;1;2;2;1;0;1;;0;509199;1;1173976;94,306564
154483;3;287;LAS CONDES;352038;6301814;20-10-2012;sábado;2;1;2;1;0;0;3;;0;280000;0;2409224;56,282253
154493;3;287;LAS CONDES;352038,4;6301813,34;20-10-2012;sábado;2;1;2;1;2;0;3;;0;566694;1;1504092;56,282253
154501;3;304;LAS CONDES;353611,7846;6300537,977;08-04-2013;lunes;1;1;3;1;0;0;1;;0;400000;0;3796437;53,186050
154511;3;311;LAS CONDES;360759;6306913;18-03-2013;lunes;1;1;6;5;98;98;1;;0;798389;1;2043909;56,961617
154521;3;316;LAS CONDES;358671,8907;6303249,631;14-08-2012;martes;1;1;5;1;0;0;1;;0;589752;1;3309020;53,343307
154530;3;316;LAS CONDES;358808,3787;6303334,133;01-09-2012;sábado;2;1;8;0;1;3;1;;0;381629;1;1331691;128,597076
154541;3;316;LAS CONDES;358690,8539;6303411,533;14-08-2012;martes;1;1;4;2;0;0;1;;0;1500000;0;400014;105,489120
154551;3;316;LAS CONDES;358708,4592;6303809,902;17-08-2012;viernes;1;1;5;2;0;0;1;;0;1800000;0;1094240;134,529724
154561;3;306;LAS CONDES;353748,4958;6303151,48;07-09-2013;sábado;2;1;3;0;4;0;1;;0;296255;1;693850;238,394394
154571;3;306;LAS CONDES;353684,5818;6303207,544;07-09-2013;sábado;2;1;1;1;1;0;3;;0;520000;0;578113;49,117886
154581;3;300;LAS CONDES;354689,9644;6303291,694;24-01-2013;jueves;1;2;2;2;2;0;1;;0;500202;1;0;106,853409
154591;3;289;LAS CONDES;353024,2317;6300725,706;16-04-2013;martes;1;1;2;1;0;0;3;;0;511661;1;1335580;48,808914
154601;3;291;LAS CONDES;353134,6138;6300683,685;16-04-2013;martes;1;1;2;0;0;0;3;;0;400000;0;437911;167,917969
154611;3;287;LAS CONDES;351027,7485;6301381,688;06-12-2012;jueves;1;1;1;1;0;0;1;;0;446482;1;1306636;45,040329
154621;3;293;LAS CONDES;355412,6162;6301161,987;15-03-2013;viernes;1;1;5;2;0;0;1;;0;800000;0;4526602;428,816620
154631;3;293;LAS CONDES;355454,8209;6301076,22;14-03-2013;jueves;1;1;1;1;0;0;1;;0;450000;0;921080;63,422398
154641;3;293;LAS CONDES;355460,2382;6301112,013;16-03-2013;sábado;2;1;2;1;0;0;1;;0;750000;0;447239;79,252441
154651;3;315;LAS CONDES;356781,5018;6304382,351;24-01-2013;jueves;1;2;2;0;0;0;1;;0;391588;1;269050;89,346970
154661;3;292;LAS CONDES;354006,8306;6301469,6;14-03-2013;jueves;1;1;3;1;1;0;1;;0;450000;0;720977;91,338326
154671;3;292;LAS CONDES;353965,1623;6301451,115;14-03-2013;jueves;1;1;1;0;0;0;3;;0;330016;1;198679;138,500946
154681;3;287;LAS CONDES;351233,6569;6301723,459;30-05-2013;jueves;1;1;2;1;1;0;1;;0;404988;1;813616;56,282253
154691;3;312;LAS CONDES;354677,8021;6302875,389;05-06-2013;miércoles;1;1;5;2;2;0;2;607057;1;614529;1;2951203;202,331131
154701;3;305;LAS CONDES;354292,6438;6301320,494;31-05-2013;viernes;1;1;1;1;0;0;1;;0;409069;1;866195;27,549580
