Hogar;Vehiculo;TipoVeh;MarcaVeh;ModeloVeh;AnoVeh;EdadVehiculo;CilindradaVeh;Combustible;SelloVerde;Propiedad
109001;10900102;1;17;OPTRA;2012;1;1800;1;2;1
109001;10900101;1;17;SPARK;2012;1;1300;1;2;1
109041;10904101;1;17;CORSA;2000;4;1600;1;2;1
109051;10905101;1;83;LEGACY;2008;2;1600;1;2;1
109101;10910101;1;17;CORSA;2010;1;1600;1;2;1
109131;10913101;1;17;CORSA;1998;4;1800;1;2;1
109151;10915101;1;45;RIO;2007;2;1600;1;2;1
109181;10918101;1;17;AVEO;2006;3;1600;1;2;1
109191;10919101;1;29;UNO;2005;3;1600;1;2;1
109201;10920101;1;37;SANTA FE;2011;1;2000;1;2;1
109211;10921101;1;19;ZX;2011;1;1800;1;2;1
109330;10933001;1;61;V16;2008;2;1500;3;2;1
109330;10933002;1;61;V16;1997;4;1500;1;2;1
109332;10933201;1;17;STATION;2008;2;99999;1;2;1
109341;10934102;1;17;AVEO;2007;2;1300;1;2;1
109341;10934101;1;17;CORSA;2010;1;1300;1;2;1
109371;10937101;1;61;V16;2005;3;1600;1;2;1
109391;10939101;1;17;CORSA;2008;2;1600;1;2;1
109411;10941102;1;17;CAPTIVA;2011;1;2300;1;2;1
109411;10941101;1;72;CLIO;2010;1;1800;1;2;1
109421;10942101;1;17;CORSA;2008;2;1600;1;2;1
109481;10948101;1;84;ALTO;2005;3;1300;1;2;1
109531;10953101;3;17;LUV;1990;5;2300;1;2;1
109541;10954101;3;17;S10;2011;1;2800;1;2;1
109601;10960101;1;37;ACCENT;2008;2;1300;1;2;1
109611;10961101;2;153;750;2010;1;750;1;2;1
109621;10962101;1;22;POINTER;1980;5;1600;1;2;1
109631;10963101;1;17;AVEO;2006;3;1300;1;2;1
109671;10967101;1;37;TUCSON;2011;1;2000;1;2;1
109681;10968102;1;17;AVEO;2007;2;1600;1;2;1
109681;10968101;1;61;V16;1998;4;1600;1;2;1
109701;10970101;1;17;CORSA;2000;4;1600;1;2;1
109711;10971101;1;86;TERCER;1990;5;1600;1;2;1
109741;10974101;1;17;SPARK;2011;1;1400;1;2;1
109751;10975101;1;17;AVEO;2011;1;1800;1;2;1
109761;10976101;1;37;ACCENT;2010;1;1600;1;2;1
109771;10977101;1;17;SPARK;2010;1;1300;1;2;1
109791;10979101;1;87;}GOL;2004;3;1600;1;2;1
109801;10980101;1;65;206;2000;4;1800;1;2;1
109821;10982101;1;37;ACCENT;2010;1;1600;1;2;1
109841;10984101;3;17;LUV;1996;5;2000;1;2;1
110101;11010101;1;37;Q10;2012;1;1500;1;2;1
110241;11024101;1;17;SPARK;2011;1;1200;1;2;1
110361;11036101;3;61;TERRANO;2011;1;2400;1;2;1
110401;11040102;3;17;LUV;2004;3;1800;1;2;1
110401;11040101;1;17;OPTRA;2012;1;1600;1;2;1
110451;11045101;1;45;OVELD;2003;3;1200;1;2;1
110531;11053101;1;22;RACER;2004;3;1400;1;2;1
110581;11058101;1;17;CORSA;2011;1;1400;1;2;1
110681;11068101;1;86;YARIS;2010;1;1600;1;2;1
110691;11069101;1;0;TUCSON;2005;3;2000;1;2;1
110781;11078101;1;61;V16;2005;3;1600;1;2;1
110861;11086101;1;67;PUNTO;2004;3;1200;1;2;1
110871;11087101;1;17;AVEO;2004;3;1600;1;2;1
110881;11088101;1;17;AVEO;2010;1;1500;1;2;1
110891;11089102;1;17;OPTRA;2012;1;1600;1;2;1
110891;11089101;1;45;CERATO;2012;1;1800;1;2;1
110911;11091101;1;0;SODIE;2012;1;1300;1;2;1
111061;11106101;1;64;OPEL;1995;5;1200;1;2;1
111161;11116101;1;17;CORSA;2011;1;1500;1;2;1
111171;11117101;1;65;207;2011;1;1600;1;2;1
111191;11119101;1;61;V16;1997;4;1600;1;2;1
111211;11121101;1;0;COROLA;2009;2;1600;1;2;2
111261;11126101;1;19;SARA;1997;4;1200;1;2;1
111281;11128101;1;65;505;1985;5;1800;1;2;1
111311;11131101;1;45;RIO;2004;3;1500;1;2;1
111361;11136101;1;29;PALIOT;2007;2;1500;1;2;1
111411;11141101;1;84;MARUTTI;2010;1;1100;1;2;1
111441;11144101;1;61;V16;1997;4;1600;1;2;1
111480;11148001;1;61;TERRANO;2010;1;2300;1;2;1
111531;11153101;1;83;HONDA;2011;1;1800;1;2;1
111571;11157101;1;84;BALENO;2000;4;1600;1;2;1
111621;11162101;1;84;BALENO;2008;2;1500;1;2;1
111651;11165101;1;64;ASTRA;1997;4;1500;1;2;1
111692;11169201;5;65;FIORINO;1999;4;99999;1;2;1
111710;11171001;1;65;STEICHON;1997;4;1800;1;2;1
111721;11172101;1;17;CORSA;2004;3;1500;1;2;1
111851;11185101;1;22;2000;2006;3;2000;1;2;1
111961;11196101;1;61;V16;1998;4;1200;1;2;1
111981;11198101;1;45;RIO;2004;3;1500;1;2;1
111991;11199101;1;45;CERATO;2011;1;1500;1;2;1
112001;11200101;1;17;CORSA;1998;4;1200;1;2;1
112091;11209101;1;17;AVEO;2012;1;1300;1;2;1
112131;11213101;1;17;CRUZE;2010;1;1800;1;2;1
112141;11214101;1;45;CERATO;2011;1;1600;1;2;1
112181;11218101;1;17;CORSA;2009;2;1600;1;2;1
112261;11226101;1;65;504;1986;5;1800;1;2;1
112291;11229101;4;0;TOYOTA;1997;4;1200;1;2;1
112320;11232001;1;22;DANEO;1999;4;2000;1;2;1
112410;11241001;1;17;AVEO;2011;1;1800;1;2;1
112461;11246101;1;37;ACCENT;1997;4;1600;1;2;1
112471;11247101;1;0;BALENO;2002;3;1500;1;2;1
112511;11251101;1;65;206;2010;1;1600;1;2;1
112521;11252101;5;59;99;2004;3;2000;1;2;1
112561;11256101;1;17;SPARK;2010;1;1200;1;2;1
112581;11258101;1;86;YARIS;2007;2;1500;1;2;1
112671;11267101;1;17;SPARK;2012;1;1200;1;2;1
112750;11275001;1;17;SPARK;2011;1;99999;1;2;1
112791;11279101;1;17;SPARK;2011;1;1300;1;2;1
112871;11287102;3;17;4X4;2011;1;2000;1;2;1
112871;11287101;1;17;CORSA;2010;1;1600;1;2;1
112951;11295101;2;158;2004;2004;3;99999;1;2;1
113061;11306101;3;72;BERLINGO;1980;5;1500;1;2;1
