Viaje;DistEuclidiana;DistManhattan;Imputada
1007200102;3199;3627;0
1007200103;1151;1621;0
1007200104;-1;-1;0
1007200201;1151;1621;0
1007200202;-1;-1;0
1007200401;1151;1621;0
1007200402;-1;-1;0
1007200601;1151;1621;0
1007200602;-1;-1;0
1007320101;1285;1676;0
1007320102;1285;1676;0
1007320201;2046;2190;0
1007320202;2046;2190;0
1007320203;35891;44257;0
1007320204;35891;44257;0
1007320301;1285;1676;0
1007320302;1285;1676;0
1007320401;1462;1929;0
1007320402;1462;1929;0
1007320501;2046;2190;0
1007320502;2046;2190;0
1007320503;-1;-1;0
1007320504;-1;-1;0
1007320601;2046;2190;0
1007320602;2046;2190;0
1007320603;-1;-1;0
1007320604;-1;-1;0
1007400101;-1;-1;0
1007400102;-1;-1;0
1007520101;4627;6518;0
1007520102;4628;6518;0
1007520103;120;-1;1
1007520104;349;-1;1
1007520301;8694;12166;0
1007520302;10758;12754;0
1007600101;4289;4675;0
1007600102;4289;4675;0
1007600201;1080;1311;0
1007600202;1214;1283;0
1007600203;461;-1;1
1007600204;933;1224;0
1007600301;808;937;0
1007600302;808;937;0
1007600401;207;-1;1
1007600402;866;-1;1
1007720101;5917;6390;0
1007720102;5865;6317;0
1007720201;273;-1;1
1007720202;747;-1;1
1007720203;1965;2636;0
1007720204;1911;2563;0
1007720301;1965;2636;0
1007720302;1911;2563;0
1007820101;-1;-1;0
1007820102;-1;-1;0
1007820103;-1;-1;0
1007820104;-1;-1;0
1007920201;12275;16336;0
1007920202;12275;16336;0
1007920301;12275;16336;0
1007920302;12275;16336;0
1007920401;12275;16336;0
1007920402;12275;16336;0
1008020101;17152;21780;0
1008020102;17152;21780;0
1008020201;19642;20671;0
1008020202;19642;20671;0
1008020301;23661;28171;0
1008020302;23661;28171;0
1008100101;2728;3657;0
1008100102;2728;3657;0
1008100103;619;-1;1
1008100104;157;-1;1
1008100201;985;1270;0
1008100202;341;-1;1
1008100203;967;1166;0
1008100204;495;-1;1
1008100205;254;-1;1
1008100301;15101;17759;0
1008100302;15101;17759;0
1008100303;1022;1247;0
1008100304;1022;1247;0
1008100401;15101;17759;0
1008100402;15101;17759;0
1008100403;1022;1247;0
1008100404;1022;1247;0
1008220101;359;-1;1
1008220102;774;-1;1
1008220103;1458;2054;0
1008220104;1458;2054;0
1008220201;2352;2963;0
1008220202;2340;2938;0
1008220203;928;-1;1
1008220204;243;-1;1
1008220205;911;-1;1
1008220206;534;-1;1
1008220301;16521;19765;0
1008220302;16531;19790;0
1008320101;1707;2100;0
1008320102;1707;2100;0
1008320201;11037;11060;0
1008320202;11037;11060;0
1008320301;11037;11060;0
1008320302;11037;11060;0
1008320401;724;813;0
1008320402;724;813;0
1008430101;1013;1429;0
1008430102;1013;1429;0
1008500101;10290;11395;0
1008500102;10305;11431;0
1008500103;-1;-1;0
1008500104;-1;-1;0
1008500105;6172;6776;0
1008500106;6172;6776;0
1008500201;2053;2847;0
1008500202;26155;32469;0
1008500203;43;59;0
1008500204;5651;6242;0
1008500205;5651;6242;0
1008500301;34821;39335;0
1008500302;34836;39371;0
1008500303;5651;6242;0
1008500304;5651;6242;0
1008500401;6195;6788;0
1008500402;6172;6776;0
1008500501;5674;6254;0
1008500502;5651;6242;0
1008620101;1671;2112;0
1008620102;1671;2112;0
1008620201;29375;35907;0
1008620202;29375;35907;0
1008620301;1701;2394;0
1008620302;1701;2394;0
1008720101;32254;38442;0
1008720102;1047;1255;0
1008820101;145;-1;1
1008820102;508;-1;1
1008900101;13785;19467;0
1008900102;14585;20512;0
1008900103;1087;1127;0
1008900104;956;1144;0
1008900105;956;1144;0
1008900106;1087;1127;0
1008900107;14585;20512;0
1008900108;-1;-1;0
1008900109;-1;-1;0
1008900110;9006;9010;0
1008900111;10092;10138;0
1008900112;1087;1127;0
1008900113;1087;1127;0
1008900114;1087;1127;0
1008900201;1263;1397;0
1008900202;745;1045;0
1008900203;738;982;0
1008900204;1227;1245;0
1008900205;1227;1245;0
1008900206;3170;3715;0
1008900207;3170;3715;0
1008900301;-1;-1;0
1008900302;-1;-1;0
1008900303;-1;-1;0
1008900304;-1;-1;0
1008900305;-1;-1;0
1008900306;-1;-1;0
1008900401;-1;-1;0
1008900402;-1;-1;0
1008900501;738;982;0
1008900502;738;982;0
1009020101;234;-1;1
1009020102;735;-1;1
1009020103;131;-1;1
1009020104;10;-1;1
1009020105;439;-1;1
1009020201;5859;8065;0
1009020202;5859;8065;0
1009020203;5859;8065;0
1009020401;2957;4177;0
1009020402;2957;4177;0
1009020501;2486;2945;0
1009020502;2486;2945;0
1009120301;27033;35295;0
1009120302;27059;35304;0
1009120401;27033;35295;0
1009120402;27059;35304;0
1009120403;518;638;0
1009120404;518;638;0
1009120501;27033;35295;0
1009120502;27059;35304;0
1009220101;4309;4462;0
1009220102;4309;4462;0
1009300101;992;-1;1
1009300102;708;-1;1
1009300201;1731;-1;1
1009300202;1151;-1;1
1009300401;843;1001;0
1009300402;843;1001;0
1009300501;593;804;0
1009300502;593;804;0
1009400101;919;-1;1
1009400102;804;-1;1
1009400103;696;-1;1
1009400104;587;-1;1
1009400201;1696;1963;0
1009400202;1678;1982;0
1009400301;1041;1324;0
1009400302;331;-1;1
1009600101;2023;2262;0
1009600102;2023;2262;0
1009720201;3299;4640;0
1009720202;3299;4640;0
1009720301;3299;4640;0
1009720302;3299;4640;0
1009720401;27320;29918;0
1009720402;27320;29918;0
1009720501;3299;4640;0
1009720502;3299;4640;0
1009720601;3299;4640;0
1009720602;3299;4640;0
1009800301;1249;1766;0
1009800302;1249;1766;0
1009800401;-1;-1;0
1009800402;9631;13619;0
1009800501;7579;7842;0
1009800502;41059;47797;0
1009800503;33579;39955;0
1009800601;3286;3450;0
1009800602;3286;3450;0
1009800701;1464;1486;0
1009800702;1464;1486;0
1009900101;3029;3172;0
1009900102;3068;3237;0
1009900201;706;-1;1
1009900202;1125;-1;1
1009900203;1123;-1;1
1009900204;737;-1;1
1009900205;983;-1;1
1009900206;1058;-1;1
1009900301;624;-1;1
1009900302;1072;-1;1
1009900303;448;-1;1
1009900304;441;-1;1
1009900401;778;-1;1
1009900402;1206;-1;1
1009900403;1541;-1;1
1009900404;359;-1;1
1010020101;5573;6452;0
1010020102;5573;6452;0
1010020201;600;-1;1
1010020202;355;-1;1
1010020203;383;-1;1
1010020204;395;-1;1
1010020205;541;-1;1
1010020301;29363;34811;0
1010020302;155;-1;1
1010020303;2618;2860;0
1010020304;28686;32174;0
1010120101;-1;-1;0
1010120102;-1;-1;0
1010210101;2068;2265;0
1010210102;1959;2194;0
1010210103;2888;4045;0
1010300101;-1;-1;0
1010300102;-1;-1;0
1010300103;-1;-1;0
1010300104;-1;-1;0
1010300201;2053;2384;0
1010300202;2053;2384;0
1010300301;2494;2819;0
1010300302;2494;2819;0
1010300401;32801;39993;0
1010300402;32801;39993;0
1010410101;1288;1821;0
1010410102;1288;1821;0
1010510101;27237;34302;0
1010510102;27235;34299;0
1010510201;1288;1822;0
1010510202;1288;1822;0
1010510301;1501;1741;0
1010510302;1501;1741;0
1010620101;13213;18585;0
1010620102;13213;18585;0
1010620201;476;-1;1
1010620202;183;-1;1
1010620203;770;-1;1
1010620204;936;-1;1
1010700101;3497;4354;0
1010700102;627;-1;1
1010700103;3509;4240;0
1010700201;3703;5113;0
1010700202;3703;5113;0
1010700203;3703;5113;0
1010700204;3703;5113;0
1010700301;2279;2573;0
1010700302;2279;2573;0
1010700401;2805;3382;0
1010700402;2805;3382;0
1010700403;693;-1;1
1010700404;843;-1;1
1010700405;17;-1;1
1010700406;573;-1;1
1010800101;3189;4016;0
1010800102;85;-1;1
1010800103;3338;3893;0
1010800201;3598;3821;0
1010800202;3598;3821;0
1010800301;3189;4016;0
1010800302;670;-1;1
1010800303;3338;3893;0
1010910101;2935;3195;0
1010910102;13694;16653;0
1010910103;16553;19759;0
1010910104;245;-1;1
1010910105;1329;-1;1
1010910201;508;-1;1
1010910202;1624;-1;1
1010910301;301;-1;1
1010910302;769;-1;1
1011020101;761;-1;1
1011020102;213;-1;1
1011020103;507;-1;1
1011020104;832;-1;1
1011020105;1648;1703;0
1011020106;304;-1;1
1011020107;1510;1876;0
1011020201;1880;1937;0
1011020202;1880;1937;0
1011020203;538;-1;1
1011020204;761;-1;1
1011020301;1221;1399;0
1011020302;503;693;0
1011020303;82;-1;1
1011020304;1510;1876;0
1011020401;1449;1994;0
1011020402;1449;1994;0
1011020403;527;-1;1
1011020404;622;-1;1
1011110101;880;1102;0
1011110102;880;1102;0
1011110201;1048;-1;1
1011110202;286;-1;1
1011200101;33259;39429;0
1011200102;33259;39429;0
1011200201;34329;41656;0
1011200202;34329;41656;0
1011420101;16964;21758;0
1011420102;16964;21758;0
1011420103;843;-1;1
1011420104;215;-1;1
1011420201;30441;37199;0
1011420202;30441;37199;0
1011420301;30442;37200;0
1011420302;30442;37200;0
1011500201;762;-1;1
1011500202;840;-1;1
1011500203;47;-1;1
1011500204;166;-1;1
1011620101;18427;23972;0
1011620102;18427;23972;0
1011710101;29548;38514;0
1011710102;1756;2101;0
1011710103;27818;36413;0
1011710201;29464;38337;0
1011710202;29549;38514;0
1011710301;33029;41418;0
1011710302;33105;41595;0
1011900101;466;-1;1
1011900102;105;-1;1
1011900103;2172;2247;0
1011900104;256;-1;1
1011900105;469;-1;1
1011900106;6855;9404;0
1011900107;6855;9404;0
1011900108;655;-1;1
1011900109;957;-1;1
1011900201;3345;3428;0
1011900202;3345;3428;0
1011900203;3345;3428;0
1011900204;3345;3428;0
1011900205;662;-1;1
1011900206;826;-1;1
1011900207;815;-1;1
1011900208;813;-1;1
1011900209;528;-1;1
1011900210;207;-1;1
1011900301;9928;14039;0
1011900302;9928;14039;0
1012020101;2146;2355;0
1012020102;2067;2262;0
1012020201;3436;4855;0
1012020202;3369;4762;0
1012020301;5732;7627;0
1012020302;5686;7534;0
1012020501;2258;2331;0
1012020502;2179;2238;0
1012100101;13783;18973;0
1012100102;13783;18973;0
1012100201;973;-1;1
1012100202;475;-1;1
1012100203;250;-1;1
1012100204;807;-1;1
1012100301;30087;35523;0
1012100302;30087;35523;0
1012100401;504;-1;1
1012100402;90;-1;1
1012100501;13776;18965;0
1012100502;13776;18965;0
1012200101;439;-1;1
1012200102;3938;4145;0
1012200103;4415;4842;0
1012200104;4415;4842;0
1012200105;4415;4842;0
1012200301;716;1003;0
1012200302;716;1003;0
1012200303;733;1010;0
1012200304;733;1010;0
1012200401;32056;38887;0
1012200402;1997;2728;0
1012200403;30699;36159;0
1012310101;31477;37435;0
1012310102;31477;37435;0
1012310201;1172;1225;0
1012310202;1172;1225;0
1012310203;1172;1225;0
1012310204;1172;1225;0
1012310301;1172;1225;0
1012310302;1172;1225;0
1012410101;1427;1990;0
1012410102;1427;1990;0
1012410201;3104;4187;0
1012410202;3104;4187;0
1012500101;820;1120;0
1012500102;820;1120;0
1012500201;845;1018;0
1012500202;845;1018;0
1012500401;33951;39933;0
1012500402;33951;39933;0
1012500901;-1;-1;0
1012500902;-1;-1;0
1012500903;-1;-1;0
1012500904;-1;-1;0
1012501001;32013;37106;0
1012501002;32013;37106;0
1012620201;6039;7485;0
1012620202;6181;7596;0
1012620301;6039;7485;0
1012620302;6181;7596;0
1012700101;-1;-1;0
1012700102;-1;-1;0
1012700201;-1;-1;0
1012700202;-1;-1;0
1012700203;-1;-1;0
1012700204;-1;-1;0
1012700301;-1;-1;0
1012700302;-1;-1;0
1012900201;1479;1944;0
1012900202;832;-1;1
1012900203;1643;2323;0
1012900301;1239;1705;0
1012900302;93;-1;1
1012900303;1479;1944;0
1012900401;-1;-1;0
1012900402;-1;-1;0
1012900403;-1;-1;0
1012900404;-1;-1;0
1012900501;1479;1944;0
1012900502;1479;1944;0
1013000101;-1;-1;0
1013000102;-1;-1;0
1013000201;32348;37188;0
1013000301;-1;-1;0
1013000302;-1;-1;0
1013000303;1002;1381;0
1013000304;1002;1381;0
1013100101;18187;21946;0
1013100102;18187;21946;0
1013200101;-1;-1;0
1013200102;-1;-1;0
1013200103;1022;1184;0
1013200104;1022;1184;0
1013200201;493;-1;1
1013200202;1401;-1;1
1013200301;-1;-1;0
1013200302;-1;-1;0
1013320101;2661;2775;0
1013320102;444;-1;1
1013320103;2489;2721;0
1013320201;2661;2775;0
1013320202;832;-1;1
1013320203;2489;2721;0
1013400201;4166;4582;0
1013400202;4166;4582;0
1013400301;534;-1;1
1013400302;321;-1;1
1013400401;292;-1;1
1013400402;757;-1;1
1013400501;426;566;0
1013400502;426;566;0
1013510101;18324;23208;0
1013510102;18324;23208;0
1013510201;7750;9905;0
1013510202;7750;9905;0
1013510301;12278;14662;0
1013510302;12278;14662;0
1013510401;12278;14662;0
1013510402;12278;14662;0
1013510403;7750;9905;0
1013510404;7750;9905;0
1013600101;16811;22020;0
1013600102;4492;4758;0
1013600103;4492;4758;0
1013600104;15784;17950;0
1013600105;4191;4307;0
1013600301;16811;22020;0
1013600302;15784;17950;0
1013600303;4191;4307;0
1013720101;5353;7549;0
1013720102;3434;3740;0
1013720103;3736;3809;0
1013720201;-1;-1;0
1013720202;-1;-1;0
1013720203;-1;-1;0
1013720204;-1;-1;0
1013720301;-1;-1;0
1013720302;-1;-1;0
1013720303;-1;-1;0
1013720304;-1;-1;0
1013820101;37124;46002;0
1013820102;37124;46002;0
1013820301;32998;39681;0
1013820302;125;-1;1
1013820303;243;-1;1
1013820304;166;-1;1
1013820305;32998;39681;0
1013820401;31611;37745;0
1013820402;31611;37745;0
1013820403;775;1002;0
1013820404;775;1002;0
1013920101;56565;61270;0
1013920102;56565;61270;0
1013920201;-1;-1;0
1013920202;-1;-1;0
1014010101;3227;3701;0
1014010102;3227;3701;0
1014120101;3822;5235;0
1014120102;3822;5235;0
1014120201;218;-1;1
1014120202;270;-1;1
1014120301;774;1093;0
1014120302;774;1093;0
1014120401;32654;42455;0
1014200101;751;881;0
1014200102;751;881;0
1014200103;751;881;0
1014200104;751;881;0
1014200201;883;1221;0
1014200202;883;1221;0
1014320101;406;572;0
1014320102;406;572;0
1014420101;910;947;0
1014420102;914;952;0
1014420103;-1;-1;0
1014420104;-1;-1;0
1014420201;707;866;0
1014420202;711;869;0
1014420203;711;869;0
1014420204;-1;-1;0
1014420205;900;1089;0
1014420301;897;1086;0
1014420302;900;1089;0
1014500101;89;124;0
1014500102;89;124;0
1014500201;31190;35801;0
1014500202;31190;35801;0
1014500301;600;612;0
1014500302;315;445;0
1014500303;843;1032;0
1014620101;28935;35948;0
1014620102;28935;35948;0
1014620301;761;-1;1
1014620302;650;-1;1
1014620401;3519;4185;0
1014620402;3519;4185;0
1014620501;316;-1;1
1014620502;74;-1;1
1014710201;1148;-1;1
1014710202;195;-1;1
1014710301;3028;3288;0
1014710302;3028;3288;0
1014710401;5441;5461;0
1014710402;5441;5461;0
1014710403;198;-1;1
1014710404;1588;-1;1
1014800101;5653;6579;0
1014800102;5198;6218;0
1014800103;508;-1;1
1014800104;1451;-1;1
1014800201;1098;-1;1
1014800202;522;-1;1
1014800203;1013;-1;1
1014800204;1154;-1;1
1014800301;4952;5810;0
1014800302;5413;6171;0
1014800303;356;-1;1
1014800304;1468;-1;1
1014800401;4952;5810;0
1014800402;5413;6171;0
1015020101;3182;3569;0
1015020102;4119;4575;0
1015020201;3378;3381;0
1015020202;4314;4380;0
1015020203;4031;4608;0
1015020204;4031;4608;0
1015020205;4314;4380;0
1015020206;4314;4380;0
1015020301;3378;3381;0
1015020302;4314;4380;0
1015120101;40497;43840;0
1015120201;40497;43840;0
1015120301;171;-1;1
1015120302;664;-1;1
1015120401;474;-1;1
1015120402;170;-1;1
1015200201;-1;-1;0
1015200202;-1;-1;0
1015300101;2358;2655;0
1015300102;-1;-1;0
1015300103;-1;-1;0
