Persona;Edad
10465101;43
10465102;19
10465103;67
10466101;81
10466102;73
10467101;58
10467102;59
10468101;56
10468102;55
10468103;26
10469301;65
10469302;65
10470101;56
10470102;57
10470103;19
10471101;42
10471102;41
10471103;23
10471104;21
10471105;7
10472101;46
10472102;40
10472103;21
10472104;16
10473101;45
10473102;35
10473103;5
10473104;5
10473105;5
10474101;65
10474102;65
10475301;44
10475302;50
10475303;22
10475304;16
10476101;75
10476102;74
10476103;48
10476104;24
10476105;16
10477101;29
10477102;9
10477103;4
10478101;61
10478102;65
10479101;58
10479102;56
10479103;24
10480001;66
10481101;29
10481102;29
10481103;5
10481104;3
10482101;53
10482102;39
10482103;7
10482104;3
10483001;62
10483002;56
10483003;25
10483004;8
10483005;2
10484101;84
10484102;89
10485101;66
10485102;63
10486101;67
10486102;69
10486103;48
10486104;44
10486105;3
10487001;21
10487002;12
10488101;54
10488102;27
10488103;23
10489101;64
10489102;96
10489103;45
10490101;52
10490102;51
10490103;26
10490104;13
10491101;57
10491102;83
10492101;42
10492102;6
10493101;77
10493102;42
10493103;13
10494301;70
10494302;77
10495101;65
10495102;49
10495103;20
10495104;20
10496101;47
10496102;40
10496103;14
10496104;71
10497101;47
10497102;39
10498201;66
10498202;18
10499101;51
10499102;21
10499103;22
10499104;4
10500101;37
10500102;27
10500103;6
10500104;6
10500105;18
10501101;63
10501102;45
10501103;21
10502101;31
10502102;27
10502103;7
10502104;55
10502201;35
10502202;42
10502203;12
10502204;16
10502205;1
10504101;62
10504102;32
10504103;22
10504104;32
10505101;38
10505102;41
10506101;42
10506102;41
10506103;19
10507101;47
10507102;98
10508201;67
10508202;31
10509301;65
10509302;31
10510101;28
10510102;24
10510103;2
10510104;9
10511101;59
10511102;26
10511103;25
10511104;9
10511105;2
10512101;50
10512102;46
10512103;20
10512104;18
10512105;3
10513101;20
10513102;21
10513103;2
10514101;39
10514102;35
10514103;3
10514104;1
10515101;33
10515102;33
10515103;6
10515104;2
10516101;41
10516102;45
10516103;22
10516104;3
10517101;66
10517102;68
10517103;29
10517104;38
10518101;46
10518102;53
10518103;23
10519101;32
10519102;33
10519103;13
10520101;66
10520102;91
10521101;40
10521102;19
10521103;16
10521104;10
10522101;34
10522102;35
10522103;1
10523101;32
10524101;63
10525101;58
10525102;29
10525103;37
10525104;6
10526001;70
10526002;75
10526003;43
10526004;37
10527001;77
10527002;42
10527003;22
10527004;40
10527005;15
10528001;58
10528002;62
10528003;15
10529001;67
10529002;84
10530001;75
10531101;57
10531102;34
10532101;23
10532102;22
10532103;4
10533001;52
10533002;55
10534101;45
10534102;45
10534103;17
10534104;6
10534105;20
10535101;43
10535102;71
10536001;49
10536002;43
10536003;11
