REGION;PROVINCIA;COMUNA;DC;AREA;ZONA;NOM_URBANO;CAT;REGION_15R;PROVINCIA_15R;COMUNA_15R
13;131;13123;2;1;4;PROVIDENCIA;1;13;131;13123
13;131;13123;2;1;5;PROVIDENCIA;1;13;131;13123
13;131;13123;2;1;6;PROVIDENCIA;1;13;131;13123
13;131;13123;2;1;7;PROVIDENCIA;1;13;131;13123
13;131;13123;3;1;1;PROVIDENCIA;1;13;131;13123
13;131;13123;3;1;2;PROVIDENCIA;1;13;131;13123
13;131;13123;3;1;3;PROVIDENCIA;1;13;131;13123
13;131;13123;3;1;4;PROVIDENCIA;1;13;131;13123
13;131;13123;3;1;5;PROVIDENCIA;1;13;131;13123
13;131;13123;3;1;6;PROVIDENCIA;1;13;131;13123
13;131;13123;3;1;7;PROVIDENCIA;1;13;131;13123
13;131;13123;3;1;8;PROVIDENCIA;1;13;131;13123
13;131;13123;3;1;9;PROVIDENCIA;1;13;131;13123
13;131;13123;3;1;10;PROVIDENCIA;1;13;131;13123
13;131;13123;3;1;11;PROVIDENCIA;1;13;131;13123
13;131;13123;4;1;1;PROVIDENCIA;1;13;131;13123
13;131;13123;4;1;2;PROVIDENCIA;1;13;131;13123
13;131;13123;4;1;3;PROVIDENCIA;1;13;131;13123
13;131;13123;4;1;4;PROVIDENCIA;1;13;131;13123
13;131;13123;4;1;5;PROVIDENCIA;1;13;131;13123
13;131;13123;4;1;6;PROVIDENCIA;1;13;131;13123
13;131;13123;4;1;7;PROVIDENCIA;1;13;131;13123
13;131;13123;4;1;8;PROVIDENCIA;1;13;131;13123
13;131;13123;4;1;9;PROVIDENCIA;1;13;131;13123
13;131;13123;4;1;10;PROVIDENCIA;1;13;131;13123
13;131;13123;4;1;11;PROVIDENCIA;1;13;131;13123
13;131;13123;4;1;12;PROVIDENCIA;1;13;131;13123
13;131;13123;5;1;1;PROVIDENCIA;1;13;131;13123
13;131;13123;5;1;2;PROVIDENCIA;1;13;131;13123
13;131;13123;6;1;1;PROVIDENCIA;1;13;131;13123
13;131;13123;6;1;2;PROVIDENCIA;1;13;131;13123
13;131;13123;6;1;3;PROVIDENCIA;1;13;131;13123
13;131;13123;6;1;4;PROVIDENCIA;1;13;131;13123
13;131;13123;7;1;1;PROVIDENCIA;1;13;131;13123
13;131;13123;7;1;2;PROVIDENCIA;1;13;131;13123
13;131;13123;7;1;3;PROVIDENCIA;1;13;131;13123
13;131;13123;8;1;1;PROVIDENCIA;1;13;131;13123
13;131;13123;8;1;2;PROVIDENCIA;1;13;131;13123
13;131;13123;8;1;3;PROVIDENCIA;1;13;131;13123
13;131;13123;8;1;4;PROVIDENCIA;1;13;131;13123
13;131;13124;1;1;1;PUDAHUEL;1;13;131;13124
13;131;13124;1;1;2;PUDAHUEL;1;13;131;13124
13;131;13124;1;1;3;PUDAHUEL;1;13;131;13124
13;131;13124;1;1;4;PUDAHUEL;1;13;131;13124
13;131;13124;2;1;1;PUDAHUEL;1;13;131;13124
13;131;13124;2;1;2;PUDAHUEL;1;13;131;13124
13;131;13124;2;1;3;PUDAHUEL;1;13;131;13124
13;131;13124;2;1;4;PUDAHUEL;1;13;131;13124
13;131;13124;2;1;5;PUDAHUEL;1;13;131;13124
13;131;13124;2;1;6;PUDAHUEL;1;13;131;13124
13;131;13124;3;1;1;PUDAHUEL;1;13;131;13124
13;131;13124;3;1;2;PUDAHUEL;1;13;131;13124
13;131;13124;3;1;3;PUDAHUEL;1;13;131;13124
13;131;13124;3;1;4;PUDAHUEL;1;13;131;13124
13;131;13124;4;1;1;PUDAHUEL;1;13;131;13124
13;131;13124;4;1;2;PUDAHUEL;1;13;131;13124
13;131;13124;4;1;3;PUDAHUEL;1;13;131;13124
13;131;13124;4;1;4;PUDAHUEL;1;13;131;13124
13;131;13124;4;1;5;PUDAHUEL;1;13;131;13124
13;131;13124;5;1;1;PUDAHUEL;1;13;131;13124
13;131;13124;5;1;2;PUDAHUEL;1;13;131;13124
13;131;13124;5;1;3;PUDAHUEL;1;13;131;13124
13;131;13124;5;1;4;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;1;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;2;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;3;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;4;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;5;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;6;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;7;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;8;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;9;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;10;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;11;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;12;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;13;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;14;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;15;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;16;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;17;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;18;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;19;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;20;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;21;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;22;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;23;PUDAHUEL;1;13;131;13124
13;131;13124;6;1;24;PUDAHUEL;1;13;131;13124
13;131;13124;7;1;1;CIUDAD DEL VALLE;1;13;131;13124
13;131;13124;7;1;2;CIUDAD DEL VALLE;1;13;131;13124
13;131;13124;7;1;3;LO AGUIRRE;2;13;131;13124
13;131;13124;7;1;4;EL CAMBUCHO;2;13;131;13124
13;131;13124;7;1;5;NOVICIADO ALTO;2;13;131;13124
13;131;13124;8;1;1;VILLA CAMPO ALEGRE;2;13;131;13124
13;131;13124;9;1;1;PUDAHUEL;1;13;131;13124
13;131;13124;9;1;2;PUDAHUEL;1;13;131;13124
13;131;13124;9;1;3;PUDAHUEL;1;13;131;13124
13;131;13124;9;1;4;PUDAHUEL;1;13;131;13124
13;131;13124;9;1;5;PUDAHUEL;1;13;131;13124
13;131;13124;10;1;1;PUDAHUEL;1;13;131;13124
13;131;13124;10;1;2;PUDAHUEL;1;13;131;13124
13;131;13124;10;1;3;PUDAHUEL;1;13;131;13124
13;131;13124;10;1;4;PUDAHUEL;1;13;131;13124
13;131;13125;1;1;1;QULICURA;1;13;131;13125
13;131;13125;1;1;2;QULICURA;1;13;131;13125
13;131;13125;1;1;3;QULICURA;1;13;131;13125
13;131;13125;1;1;4;QULICURA;1;13;131;13125
13;131;13125;1;1;5;QULICURA;1;13;131;13125
13;131;13125;1;1;6;QULICURA;1;13;131;13125
13;131;13125;1;1;7;QULICURA;1;13;131;13125
13;131;13125;1;1;8;QULICURA;1;13;131;13125
13;131;13125;2;1;1;QULICURA;1;13;131;13125
13;131;13125;2;1;2;QULICURA;1;13;131;13125
13;131;13125;2;1;3;QULICURA;1;13;131;13125
13;131;13125;2;1;4;QULICURA;1;13;131;13125
13;131;13125;2;1;5;QULICURA;1;13;131;13125
13;131;13125;2;1;6;QULICURA;1;13;131;13125
13;131;13125;2;1;7;QULICURA;1;13;131;13125
13;131;13125;2;1;8;QULICURA;1;13;131;13125
13;131;13125;2;1;9;QULICURA;1;13;131;13125
13;131;13125;2;1;10;QULICURA;1;13;131;13125
13;131;13125;2;1;11;QULICURA;1;13;131;13125
