s2_cellid,EDUARDO ARTES BRICHETTI,GABRIEL BORIC FONT,JOSE ANTONIO KAST RIST,MARCO ENRIQUEZ-OMINAMI GUMUCIO,FRANCO PARISI FERNANDEZ,YASNA PROVOSTE CAMPILLAY,SEBASTIAN SICHEL RAMIREZ,Votos Blancos,Votos Nulos
10836440343096852480,0.02181962443797937,0.3128801904258133,0.26421581592171384,0.08145993123512299,0.046945252578682886,0.10618883893149961,0.15763025654588733,0.001983602221634488,0.006876487701666226
10836440411816329216,0.030111524163568774,0.36059479553903345,0.2539033457249071,0.06988847583643122,0.06765799256505577,0.09107806691449814,0.11895910780669144,0.001486988847583643,0.006319702602230483
10836440446176067584,0.032015065913371,0.44670433145009414,0.13145009416195857,0.09491525423728814,0.14726930320150658,0.04934086629001883,0.09001883239171375,0.0022598870056497176,0.006026365348399247
10836440480535805952,0.019170478491031505,0.3631597882510151,0.2281955080433777,0.07092563087834712,0.042812355450480545,0.1007349540011307,0.1677545356426993,0.001901629233694814,0.0053451200082232616
10836440583615021056,0.019397298233460338,0.34083824038794597,0.19639764461378595,0.12261863526151714,0.0748181503290613,0.11257360581918947,0.12435053688950468,0.0024246622791825423,0.0065812261863526155
10836440617974759424,0.02149400986610289,0.3965821000704722,0.18528306319003993,0.0873267559314071,0.09725158562367865,0.08439041578576462,0.1180996006577402,0.0021728917077754287,0.007399577167019027
10836440652334497792,0.025683060109289616,0.380327868852459,0.17759562841530055,0.10273224043715846,0.08196721311475409,0.09890710382513661,0.1251366120218579,0.001639344262295082,0.006010928961748634
10836440755413712896,0.015314240254574384,0.3685361972951472,0.2615354017501989,0.0513126491646778,0.03162291169451074,0.10421638822593476,0.15950676213206047,0.0031821797931583136,0.00477326968973747
10836440789773451264,0.013083451202263084,0.3384016973125884,0.29605728429985856,0.020774398868458274,0.016884724186704385,0.11448019801980198,0.19351131541725602,0.002033239038189533,0.004773691654879774
10836440824133189632,0.014290250873293109,0.3308986979993649,0.21467132422991425,0.09304541124166402,0.05398539218799619,0.11146395681168625,0.17211813274055254,0.0028580501746586218,0.006668783740870117
10836440961572143104,0.014363079821050152,0.29950553331763596,0.25959500824111137,0.07911466917824346,0.04509065222510007,0.13291735342594774,0.15634565575700493,0.004944666823640216,0.008123381210266071
10836440995931881472,0.01621316791202594,0.3466798251797547,0.27646975891724235,0.04328210912166925,0.024296254523238876,0.10738286573617181,0.17265848959067626,0.0023497344800037594,0.010667794539217068
10836441030291619840,0.02741098260632001,0.3870321464347509,0.2578089427192423,0.05382023495127948,0.04808305254530553,0.09926236226208907,0.11720244057918222,0.0032783899462708313,0.006101447955559603
10836441064651358208,0.02626123013130615,0.3548721492743607,0.23289564616447822,0.08914996544574982,0.04733932273669662,0.11333794056668971,0.12612301313061505,0.0031098825155494126,0.006910850034554251
10836441099011096576,0.02509727626459144,0.3459143968871595,0.22762645914396887,0.08268482490272373,0.08618677042801556,0.08715953307392996,0.1357976653696498,0.002723735408560311,0.006809338521400778
10836441133370834944,0.031909671084928815,0.3473244968090329,0.2106038291605302,0.09278350515463918,0.1323024054982818,0.08296514482081492,0.09081983308787432,0.002700049091801669,0.00859106529209622
10836441167730573312,0.02072174905610677,0.3310211607691632,0.24110984283080164,0.10255509702344368,0.06339450346825885,0.10413556940907893,0.1281060672578804,0.0017560804284836246,0.007199929756782861
10836441236450050048,0.023731587561374796,0.44189852700491,0.18494271685761046,0.08183306055646482,0.06873977086743044,0.07610474631751228,0.10965630114566285,0.004091653027823241,0.00900163666121113
10836441270809788416,0.027298578199052133,0.4003791469194313,0.20511848341232228,0.08796208530805687,0.06502369668246445,0.08511848341232227,0.11924170616113744,0.0018957345971563982,0.007962085308056872
10836441339529265152,0.036901595744680854,0.4035904255319149,0.20977393617021275,0.08045212765957446,0.09109042553191489,0.07845744680851063,0.09009308510638298,0.0026595744680851063,0.006981382978723404
10836441408248741888,0.027759562841530055,0.3101639344262295,0.22185792349726777,0.10972677595628415,0.06972677595628415,0.10601092896174863,0.13967213114754098,0.0045901639344262295,0.010491803278688525
10836441442608480256,0.025434547775704607,0.34400471373858393,0.20347638220563685,0.11195129136796622,0.09299813414514387,0.09987233624668565,0.11057645094765786,0.004026318373760189,0.0076598251988608465
10836441580047433728,0.024179620034542316,0.2687392055267703,0.1844559585492228,0.14404145077720207,0.1001727115716753,0.12746113989637306,0.13333333333333333,0.004145077720207254,0.013471502590673576
10836441614407172096,0.022500470721144795,0.28638674449256263,0.17294294859725098,0.1437582376200339,0.10883072867633214,0.13679156467708528,0.11344379589531162,0.006307663340237244,0.009037845980041424
10836441751846125568,0.02616147947677041,0.36626071267478577,0.1880920162381597,0.10960757780784844,0.08073973838520523,0.11953089760938204,0.09742895805142084,0.006314839873703203,0.005863779882724403
10836441786205863936,0.021130480718436345,0.33438985736925514,0.1843634442683571,0.13153724247226625,0.08082408874801902,0.1278394083465399,0.10565240359218173,0.007395668251452721,0.006867406233491812
10836441820565602304,0.03260146373918829,0.3972055888223553,0.20359281437125748,0.09514304723885562,0.10113107119095142,0.07451763140385895,0.08649367930805056,0.001996007984031936,0.007318695941450432
10836441889285079040,0.01639344262295082,0.3056366494498091,0.20503031664046711,0.13518975971255334,0.09656411408039524,0.11318212441050977,0.11699977543229284,0.004266786436110487,0.0067370312149112955
10836441958004555776,0.020048602673147023,0.35905224787363305,0.1919805589307412,0.1172539489671932,0.0795868772782503,0.11057108140947752,0.11239368165249089,0.002430133657351154,0.006682867557715674
10836442095443509248,0.024946543121881683,0.35994297933000713,0.16108339272986458,0.1347113328581611,0.15680684248039914,0.07555238774055595,0.07626514611546685,0.005702066999287242,0.004989308624376337
10836442335961677824,0.019243986254295534,0.28797250859106527,0.2168384879725086,0.12920962199312716,0.07388316151202749,0.13814432989690723,0.12302405498281786,0.003092783505154639,0.00859106529209622
10836442370321416192,0.020161290322580645,0.3024193548387097,0.2025089605734767,0.13261648745519714,0.09005376344086022,0.11379928315412187,0.12992831541218638,0.0017921146953405018,0.006720430107526882
10836442404681154560,0.020465772759350742,0.28122794636556103,0.2335920959774171,0.1340860973888497,0.07939308398023995,0.11432604093154553,0.11891319689484828,0.007057163020465773,0.010938602681721948
10836442473400631296,0.01124916051040967,0.24429147078576224,0.3141370047011417,0.0651443922095366,0.04986568166554735,0.10107454667562123,0.20852921423774345,0.0023505708529214238,0.0033579583613163196
10836442542120108032,0.010107816711590296,0.24107142857142858,0.3194070080862534,0.0373989218328841,0.03099730458221024,0.09198113207547169,0.2626347708894879,0.0020215633423180594,0.004380053908355795
10836444431905718272,0.0017931858936043037,0.07608231577149688,0.5225856032789685,0.005977286312014346,0.0034155921782939116,0.060285201946887544,0.32456664674237895,0.0021347451114336947,0.0031594227649218683
