Id;RecorridoTransantiago
10715;I08 MALL ARAUCO MAIPé - (METRO) SAN ALBERTO HURT
10716;427 PUDAHUEL - HOSPITAL DIPRECA
10717;407 ENEA - HOSPITAL DIPRECA
10718;227 VILLA FREI - PEDRO AGUIRRE CERDA
10719;206 CENTRO - LA PINTANA
10720;206E EXPRESO CENTRO - LA PINTANA
10723;207 MAPOCHO - LA PINTANA
10724;207E EXPRESO MAPOCHO - LA PINTANA
10725;209 ALAMEDA - LA PINTANA
10726;209E EXPRESO ALAMEDA - LA PINTANA
10727;212 PROVIDENCIA - LA PINTANA
10729;203 HUECHURABA - EL SAUCE
10730;203E EXPRESO HUECHURABA - EL SAUCE
10733;205 SANTIAGO - PUENTE ALTO
10734;205E EXPRESO SANTIAGO - PUENTE ALTO
10747;E05 (METRO) LA CISTERNA - (METRO) BELLAVISTA DE LA F
10753;216 LA PINTANA - VITACURA
10762;C10E EXPRESO (METRO) TOBALABA - CAMINO JUAN PABLO II
10765;112 NONATO COO - (METRO) VESPUCIO NORTE
10769;C18 (METRO) ESCUELA MILITAR - CIUDAD EMPRESARIAL
10775;C22 LA PIRAMIDE - ROTONDA LO CURRO
10776;C07 LA PIRAMIDE - (METRO) FRANCISCO BILBAO
10781;119 MAPOCHO - LO ESPEJO
10784;121 MAPOCHO - LO ESPEJO
10787;F05 (METRO) LA CISTERNA - EL PEÑON
10800;I04C VILLA EL ABRAZO - PLAZA MAIPU (RECORRIDO CORTO)
10802;I04 VILLA EL ABRAZO - GENERAL VELASQUEZ
10817;G05 EL CASTILLO - (METRO) LA CISTERNA
10821;E06 (METRO) BELLAVISTA DE LA FLORIDA - MARIA ANG
10827;B25 (METRO) VESPUCIO NORTE - (METRO) CERRO BLANCO
10830;B09C MIRAFLORES - PLAZA RENCA (RECORRIDO CORTO)
10832;D01 PLAZA EGAÑA (METRO) - CONSISTORIAL
10836;D07C AV. DIAGONAL LAS TORRES - LOS PRESIDENTES (RECORRIDO CORTO)
10838;D10 (METRO) CARLOS VALDOVINOS - ALVARO CASANOVA
10844;E16 (METRO) SOTERO DEL RIO - (METRO) SANTA ROSA
10846;I03 VILLA LOS HEROES - VILLA PORTALES
10847;E04 AV. LA FLORIDA - (METRO) FRANKLIN
10855;I15 VILLA FRANCIA - (METRO) UNIVERSIDAD DE SANTI
10861;I16 POBLACION SANTIAGO - FERROCARRIL
10866;I13 VILLA LOS PRESIDENTES - (METRO) SAN ALBERTO
10869;312E EXPRESO QUILICURA - MAPOCHO
10875;314 LO MARCOLETA - PLAZA ITALIA
10876;307E EXPRESO RIGOBERTO JARA - PLAZA ITALIA
10877;313E EXPRESO QUILICURA - (METRO) QUINTA NORMAL
10886;115 VILLA EL ABRAZO - (METRO) LA MONEDA
10887;113E EXPRESO CIUDAD SATELITE - (METRO) LA MONEDA
10889;113 CIUDAD SATELITE - (METRO) LA MONEDA
10891;I17 VILLA FRANCIA - HOSPITAL SAN JUAN DE DIO
10892;301E EXPRESO (METRO) LA MONEDA - ANGELMÓ
